city,city_ascii,state_id,state_name,county_name,population,state_hierarchy,county_hierarchy,city_hierarchy
Springfield,Springfield,MA,Massachusetts,Hampden,623401,world.usa.massachusetts,world.usa.massachusetts.hampden,world.usa.massachusetts.hampden.springfield
Worcester,Worcester,MA,Massachusetts,Worcester,498328,world.usa.massachusetts,world.usa.massachusetts.worcester,world.usa.massachusetts.worcester.worcester
Barnstable Town,Barnstable Town,MA,Massachusetts,Barnstable,242847,world.usa.massachusetts,world.usa.massachusetts.barnstable,world.usa.massachusetts.barnstable.barnstable town
New Bedford,New Bedford,MA,Massachusetts,Bristol,149910,world.usa.massachusetts,world.usa.massachusetts.bristol,world.usa.massachusetts.bristol.new bedford
Leominster,Leominster,MA,Massachusetts,Worcester,119690,world.usa.massachusetts,world.usa.massachusetts.worcester,world.usa.massachusetts.worcester.leominster
Cambridge,Cambridge,MA,Massachusetts,Middlesex,118927,world.usa.massachusetts,world.usa.massachusetts.middlesex,world.usa.massachusetts.middlesex.cambridge
Lowell,Lowell,MA,Massachusetts,Middlesex,110997,world.usa.massachusetts,world.usa.massachusetts.middlesex,world.usa.massachusetts.middlesex.lowell
Brockton,Brockton,MA,Massachusetts,Plymouth,95708,world.usa.massachusetts,world.usa.massachusetts.plymouth,world.usa.massachusetts.plymouth.brockton
Quincy,Quincy,MA,Massachusetts,Norfolk,94470,world.usa.massachusetts,world.usa.massachusetts.norfolk,world.usa.massachusetts.norfolk.quincy
Detroit,Detroit,MI,Michigan,Wayne,3506126,world.usa.michigan,world.usa.michigan.wayne,world.usa.michigan.wayne.detroit
Grand Rapids,Grand Rapids,MI,Michigan,Kent,609314,world.usa.michigan,world.usa.michigan.kent,world.usa.michigan.kent.grand rapids
Flint,Flint,MI,Michigan,Genesee,332190,world.usa.michigan,world.usa.michigan.genesee,world.usa.michigan.genesee.flint
Lansing,Lansing,MI,Michigan,Ingham,324286,world.usa.michigan,world.usa.michigan.ingham,world.usa.michigan.ingham.lansing
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,322267,world.usa.michigan,world.usa.michigan.washtenaw,world.usa.michigan.washtenaw.ann arbor
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,215193,world.usa.michigan,world.usa.michigan.kalamazoo,world.usa.michigan.kalamazoo.kalamazoo
Muskegon,Muskegon,MI,Michigan,Muskegon,153565,world.usa.michigan,world.usa.michigan.muskegon,world.usa.michigan.muskegon.muskegon
Warren,Warren,MI,Michigan,Macomb,133943,world.usa.michigan,world.usa.michigan.macomb,world.usa.michigan.macomb.warren
Sterling Heights,Sterling Heights,MI,Michigan,Macomb,132438,world.usa.michigan,world.usa.michigan.macomb,world.usa.michigan.macomb.sterling heights
South Lyon,South Lyon,MI,Michigan,Oakland,124694,world.usa.michigan,world.usa.michigan.oakland,world.usa.michigan.oakland.south lyon
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,2977172,world.usa.minnesota,world.usa.minnesota.hennepin,world.usa.minnesota.hennepin.minneapolis
St. Paul,St. Paul,MN,Minnesota,Ramsey,308096,world.usa.minnesota,world.usa.minnesota.ramsey,world.usa.minnesota.ramsey.st. paul
Rochester,Rochester,MN,Minnesota,Olmsted,119942,world.usa.minnesota,world.usa.minnesota.olmsted,world.usa.minnesota.olmsted.rochester
Duluth,Duluth,MN,Minnesota,St. Louis,119476,world.usa.minnesota,world.usa.minnesota.st. louis,world.usa.minnesota.st. louis.duluth
St. Cloud,St. Cloud,MN,Minnesota,Stearns,115028,world.usa.minnesota,world.usa.minnesota.stearns,world.usa.minnesota.stearns.st. cloud
Bloomington,Bloomington,MN,Minnesota,Hennepin,84943,world.usa.minnesota,world.usa.minnesota.hennepin,world.usa.minnesota.hennepin.bloomington
Brooklyn Park,Brooklyn Park,MN,Minnesota,Hennepin,80389,world.usa.minnesota,world.usa.minnesota.hennepin,world.usa.minnesota.hennepin.brooklyn park
Plymouth,Plymouth,MN,Minnesota,Hennepin,79768,world.usa.minnesota,world.usa.minnesota.hennepin,world.usa.minnesota.hennepin.plymouth
Woodbury,Woodbury,MN,Minnesota,Washington,72828,world.usa.minnesota,world.usa.minnesota.washington,world.usa.minnesota.washington.woodbury
Maple Grove,Maple Grove,MN,Minnesota,Hennepin,72622,world.usa.minnesota,world.usa.minnesota.hennepin,world.usa.minnesota.hennepin.maple grove
Jackson,Jackson,MS,Mississippi,Hinds,325350,world.usa.mississippi,world.usa.mississippi.hinds,world.usa.mississippi.hinds.jackson
Gulfport,Gulfport,MS,Mississippi,Harrison,220987,world.usa.mississippi,world.usa.mississippi.harrison,world.usa.mississippi.harrison.gulfport
Hattiesburg,Hattiesburg,MS,Mississippi,Forrest,80138,world.usa.mississippi,world.usa.mississippi.forrest,world.usa.mississippi.forrest.hattiesburg
Southaven,Southaven,MS,Mississippi,DeSoto,55780,world.usa.mississippi,world.usa.mississippi.desoto,world.usa.mississippi.desoto.southaven
Pascagoula,Pascagoula,MS,Mississippi,Jackson,48869,world.usa.mississippi,world.usa.mississippi.jackson,world.usa.mississippi.jackson.pascagoula
Biloxi,Biloxi,MS,Mississippi,Harrison,46212,world.usa.mississippi,world.usa.mississippi.harrison,world.usa.mississippi.harrison.biloxi
Tupelo,Tupelo,MS,Mississippi,Lee,45466,world.usa.mississippi,world.usa.mississippi.lee,world.usa.mississippi.lee.tupelo
Olive Branch,Olive Branch,MS,Mississippi,DeSoto,38924,world.usa.mississippi,world.usa.mississippi.desoto,world.usa.mississippi.desoto.olive branch
Oxford,Oxford,MS,Mississippi,Lafayette,38310,world.usa.mississippi,world.usa.mississippi.lafayette,world.usa.mississippi.lafayette.oxford
Meridian,Meridian,MS,Mississippi,Lauderdale,36686,world.usa.mississippi,world.usa.mississippi.lauderdale,world.usa.mississippi.lauderdale.meridian
St. Louis,St. Louis,MO,Missouri,St. Louis,2024074,world.usa.missouri,world.usa.missouri.st. louis,world.usa.missouri.st. louis.st. louis
Kansas City,Kansas City,MO,Missouri,Jackson,1636715,world.usa.missouri,world.usa.missouri.jackson,world.usa.missouri.jackson.kansas city
Springfield,Springfield,MO,Missouri,Greene,288090,world.usa.missouri,world.usa.missouri.greene,world.usa.missouri.greene.springfield
Columbia,Columbia,MO,Missouri,Boone,141645,world.usa.missouri,world.usa.missouri.boone,world.usa.missouri.boone.columbia
Independence,Independence,MO,Missouri,Jackson,116672,world.usa.missouri,world.usa.missouri.jackson,world.usa.missouri.jackson.independence
Lee's Summit,Lee's Summit,MO,Missouri,Jackson,92522,world.usa.missouri,world.usa.missouri.jackson,world.usa.missouri.jackson.lee's summit
O'Fallon,O'Fallon,MO,Missouri,St. Charles,88673,world.usa.missouri,world.usa.missouri.st. charles,world.usa.missouri.st. charles.o'fallon
Joplin,Joplin,MO,Missouri,Jasper,84048,world.usa.missouri,world.usa.missouri.jasper,world.usa.missouri.jasper.joplin
St. Joseph,St. Joseph,MO,Missouri,Buchanan,79161,world.usa.missouri,world.usa.missouri.buchanan,world.usa.missouri.buchanan.st. joseph
St. Charles,St. Charles,MO,Missouri,St. Charles,71028,world.usa.missouri,world.usa.missouri.st. charles,world.usa.missouri.st. charles.st. charles
Billings,Billings,MT,Montana,Yellowstone,120728,world.usa.montana,world.usa.montana.yellowstone,world.usa.montana.yellowstone.billings
Missoula,Missoula,MT,Montana,Missoula,92895,world.usa.montana,world.usa.montana.missoula,world.usa.montana.missoula.missoula
Great Falls,Great Falls,MT,Montana,Cascade,65131,world.usa.montana,world.usa.montana.cascade,world.usa.montana.cascade.great falls
Bozeman,Bozeman,MT,Montana,Gallatin,57695,world.usa.montana,world.usa.montana.gallatin,world.usa.montana.gallatin.bozeman
Helena,Helena,MT,Montana,Lewis and Clark,52936,world.usa.montana,world.usa.montana.lewis and clark,world.usa.montana.lewis and clark.helena
Kalispell,Kalispell,MT,Montana,Flathead,39182,world.usa.montana,world.usa.montana.flathead,world.usa.montana.flathead.kalispell
Butte,Butte,MT,Montana,Silver Bow,30904,world.usa.montana,world.usa.montana.silver bow,world.usa.montana.silver bow.butte
Belgrade,Belgrade,MT,Montana,Gallatin,17743,world.usa.montana,world.usa.montana.gallatin,world.usa.montana.gallatin.belgrade
Havre,Havre,MT,Montana,Hill,10155,world.usa.montana,world.usa.montana.hill,world.usa.montana.hill.havre
Miles City,Miles City,MT,Montana,Custer,9436,world.usa.montana,world.usa.montana.custer,world.usa.montana.custer.miles city
Omaha,Omaha,NE,Nebraska,Douglas,847819,world.usa.nebraska,world.usa.nebraska.douglas,world.usa.nebraska.douglas.omaha
Lincoln,Lincoln,NE,Nebraska,Lancaster,289490,world.usa.nebraska,world.usa.nebraska.lancaster,world.usa.nebraska.lancaster.lincoln
Bellevue,Bellevue,NE,Nebraska,Sarpy,53544,world.usa.nebraska,world.usa.nebraska.sarpy,world.usa.nebraska.sarpy.bellevue
Grand Island,Grand Island,NE,Nebraska,Hall,53296,world.usa.nebraska,world.usa.nebraska.hall,world.usa.nebraska.hall.grand island
Kearney,Kearney,NE,Nebraska,Buffalo,34418,world.usa.nebraska,world.usa.nebraska.buffalo,world.usa.nebraska.buffalo.kearney
Fremont,Fremont,NE,Nebraska,Dodge,27456,world.usa.nebraska,world.usa.nebraska.dodge,world.usa.nebraska.dodge.fremont
Norfolk,Norfolk,NE,Nebraska,Madison,27032,world.usa.nebraska,world.usa.nebraska.madison,world.usa.nebraska.madison.norfolk
Scottsbluff,Scottsbluff,NE,Nebraska,Scotts Bluff,25114,world.usa.nebraska,world.usa.nebraska.scotts bluff,world.usa.nebraska.scotts bluff.scottsbluff
Hastings,Hastings,NE,Nebraska,Adams,24101,world.usa.nebraska,world.usa.nebraska.adams,world.usa.nebraska.adams.hastings
North Platte,North Platte,NE,Nebraska,Lincoln,24098,world.usa.nebraska,world.usa.nebraska.lincoln,world.usa.nebraska.lincoln.north platte
Las Vegas,Las Vegas,NV,Nevada,Clark,2104198,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.las vegas
Reno,Reno,NV,Nevada,Washoe,445020,world.usa.nevada,world.usa.nevada.washoe,world.usa.nevada.washoe.reno
Henderson,Henderson,NV,Nevada,Clark,320189,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.henderson
North Las Vegas,North Las Vegas,NV,Nevada,Clark,251974,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.north las vegas
Paradise,Paradise,NV,Nevada,Clark,233689,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.paradise
Spring Valley,Spring Valley,NV,Nevada,Clark,199722,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.spring valley
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,192934,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.sunrise manor
Enterprise,Enterprise,NV,Nevada,Clark,164314,world.usa.nevada,world.usa.nevada.clark,world.usa.nevada.clark.enterprise
Sparks,Sparks,NV,Nevada,Washoe,105006,world.usa.nevada,world.usa.nevada.washoe,world.usa.nevada.washoe.sparks
Carson City,Carson City,NV,Nevada,Carson City,58756,world.usa.nevada,world.usa.nevada.carson city,world.usa.nevada.carson city.carson city
Nashua,Nashua,NH,New Hampshire,Hillsborough,233917,world.usa.new hampshire,world.usa.new hampshire.hillsborough,world.usa.new hampshire.hillsborough.nashua
Manchester,Manchester,NH,New Hampshire,Hillsborough,162877,world.usa.new hampshire,world.usa.new hampshire.hillsborough,world.usa.new hampshire.hillsborough.manchester
Dover,Dover,NH,New Hampshire,Strafford,94563,world.usa.new hampshire,world.usa.new hampshire.strafford,world.usa.new hampshire.strafford.dover
Portsmouth,Portsmouth,NH,New Hampshire,Rockingham,93069,world.usa.new hampshire,world.usa.new hampshire.rockingham,world.usa.new hampshire.rockingham.portsmouth
Concord,Concord,NH,New Hampshire,Merrimack,43542,world.usa.new hampshire,world.usa.new hampshire.merrimack,world.usa.new hampshire.merrimack.concord
Rochester,Rochester,NH,New Hampshire,Strafford,31526,world.usa.new hampshire,world.usa.new hampshire.strafford,world.usa.new hampshire.strafford.rochester
Lebanon,Lebanon,NH,New Hampshire,Grafton,26666,world.usa.new hampshire,world.usa.new hampshire.grafton,world.usa.new hampshire.grafton.lebanon
Derry,Derry,NH,New Hampshire,Rockingham,22381,world.usa.new hampshire,world.usa.new hampshire.rockingham,world.usa.new hampshire.rockingham.derry
Keene,Keene,NH,New Hampshire,Cheshire,21911,world.usa.new hampshire,world.usa.new hampshire.cheshire,world.usa.new hampshire.cheshire.keene
Laconia,Laconia,NH,New Hampshire,Belknap,19371,world.usa.new hampshire,world.usa.new hampshire.belknap,world.usa.new hampshire.belknap.laconia
Trenton,Trenton,NJ,New Jersey,Mercer,290716,world.usa.new jersey,world.usa.new jersey.mercer,world.usa.new jersey.mercer.trenton
Newark,Newark,NJ,New Jersey,Essex,282011,world.usa.new jersey,world.usa.new jersey.essex,world.usa.new jersey.essex.newark
Jersey City,Jersey City,NJ,New Jersey,Hudson,262075,world.usa.new jersey,world.usa.new jersey.hudson,world.usa.new jersey.hudson.jersey city
Atlantic City,Atlantic City,NJ,New Jersey,Atlantic,237054,world.usa.new jersey,world.usa.new jersey.atlantic,world.usa.new jersey.atlantic.atlantic city
Paterson,Paterson,NJ,New Jersey,Passaic,145233,world.usa.new jersey,world.usa.new jersey.passaic,world.usa.new jersey.passaic.paterson
Elizabeth,Elizabeth,NJ,New Jersey,Union,129216,world.usa.new jersey,world.usa.new jersey.union,world.usa.new jersey.union.elizabeth
Vineland,Vineland,NJ,New Jersey,Cumberland,93239,world.usa.new jersey,world.usa.new jersey.cumberland,world.usa.new jersey.cumberland.vineland
Toms River,Toms River,NJ,New Jersey,Ocean,88712,world.usa.new jersey,world.usa.new jersey.ocean,world.usa.new jersey.ocean.toms river
Clifton,Clifton,NJ,New Jersey,Passaic,85052,world.usa.new jersey,world.usa.new jersey.passaic,world.usa.new jersey.passaic.clifton
Camden,Camden,NJ,New Jersey,Camden,73562,world.usa.new jersey,world.usa.new jersey.camden,world.usa.new jersey.camden.camden
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,761195,world.usa.new mexico,world.usa.new mexico.bernalillo,world.usa.new mexico.bernalillo.albuquerque
Las Cruces,Las Cruces,NM,New Mexico,Doña Ana,136254,world.usa.new mexico,world.usa.new mexico.doña ana,world.usa.new mexico.doña ana.las cruces
Santa Fe,Santa Fe,NM,New Mexico,Santa Fe,111269,world.usa.new mexico,world.usa.new mexico.santa fe,world.usa.new mexico.santa fe.santa fe
Rio Rancho,Rio Rancho,NM,New Mexico,Sandoval,99178,world.usa.new mexico,world.usa.new mexico.sandoval,world.usa.new mexico.sandoval.rio rancho
Los Lunas,Los Lunas,NM,New Mexico,Valencia,69020,world.usa.new mexico,world.usa.new mexico.valencia,world.usa.new mexico.valencia.los lunas
Farmington,Farmington,NM,New Mexico,San Juan,51309,world.usa.new mexico,world.usa.new mexico.san juan,world.usa.new mexico.san juan.farmington
Roswell,Roswell,NM,New Mexico,Chaves,48889,world.usa.new mexico,world.usa.new mexico.chaves,world.usa.new mexico.chaves.roswell
Clovis,Clovis,NM,New Mexico,Curry,42168,world.usa.new mexico,world.usa.new mexico.curry,world.usa.new mexico.curry.clovis
Hobbs,Hobbs,NM,New Mexico,Lea,42095,world.usa.new mexico,world.usa.new mexico.lea,world.usa.new mexico.lea.hobbs
South Valley,South Valley,NM,New Mexico,Bernalillo,41011,world.usa.new mexico,world.usa.new mexico.bernalillo,world.usa.new mexico.bernalillo.south valley
New York,New York,NY,New York,New York,18713220,world.usa.new york,world.usa.new york.new york,world.usa.new york.new york.new york
Brooklyn,Brooklyn,NY,New York,Kings,2559903,world.usa.new york,world.usa.new york.kings,world.usa.new york.kings.brooklyn
Queens,Queens,NY,New York,Queens,2230722,world.usa.new york,world.usa.new york.queens,world.usa.new york.queens.queens
Manhattan,Manhattan,NY,New York,New York,1628706,world.usa.new york,world.usa.new york.new york,world.usa.new york.new york.manhattan
Bronx,Bronx,NY,New York,Bronx,1418207,world.usa.new york,world.usa.new york.bronx,world.usa.new york.bronx.bronx
Buffalo,Buffalo,NY,New York,Erie,914341,world.usa.new york,world.usa.new york.erie,world.usa.new york.erie.buffalo
Rochester,Rochester,NY,New York,Monroe,703952,world.usa.new york,world.usa.new york.monroe,world.usa.new york.monroe.rochester
Albany,Albany,NY,New York,Albany,586383,world.usa.new york,world.usa.new york.albany,world.usa.new york.albany.albany
Staten Island,Staten Island,NY,New York,Richmond,476143,world.usa.new york,world.usa.new york.richmond,world.usa.new york.richmond.staten island
Syracuse,Syracuse,NY,New York,Onondaga,404223,world.usa.new york,world.usa.new york.onondaga,world.usa.new york.onondaga.syracuse
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,1512923,world.usa.north carolina,world.usa.north carolina.mecklenburg,world.usa.north carolina.mecklenburg.charlotte
Raleigh,Raleigh,NC,North Carolina,Wake,1038738,world.usa.north carolina,world.usa.north carolina.wake,world.usa.north carolina.wake.raleigh
Durham,Durham,NC,North Carolina,Durham,424700,world.usa.north carolina,world.usa.north carolina.durham,world.usa.north carolina.durham.durham
Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,422269,world.usa.north carolina,world.usa.north carolina.forsyth,world.usa.north carolina.forsyth.winston-salem
Greensboro,Greensboro,NC,North Carolina,Guilford,343090,world.usa.north carolina,world.usa.north carolina.guilford,world.usa.north carolina.guilford.greensboro
Fayetteville,Fayetteville,NC,North Carolina,Cumberland,327435,world.usa.north carolina,world.usa.north carolina.cumberland,world.usa.north carolina.cumberland.fayetteville
Asheville,Asheville,NC,North Carolina,Buncombe,312507,world.usa.north carolina,world.usa.north carolina.buncombe,world.usa.north carolina.buncombe.asheville
Concord,Concord,NC,North Carolina,Cabarrus,261801,world.usa.north carolina,world.usa.north carolina.cabarrus,world.usa.north carolina.cabarrus.concord
Wilmington,Wilmington,NC,North Carolina,New Hanover,255616,world.usa.north carolina,world.usa.north carolina.new hanover,world.usa.north carolina.new hanover.wilmington
Hickory,Hickory,NC,North Carolina,Catawba,218323,world.usa.north carolina,world.usa.north carolina.catawba,world.usa.north carolina.catawba.hickory
Fargo,Fargo,ND,North Dakota,Cass,208675,world.usa.north dakota,world.usa.north dakota.cass,world.usa.north dakota.cass.fargo
Bismarck,Bismarck,ND,North Dakota,Burleigh,98345,world.usa.north dakota,world.usa.north dakota.burleigh,world.usa.north dakota.burleigh.bismarck
Grand Forks,Grand Forks,ND,North Dakota,Grand Forks,64748,world.usa.north dakota,world.usa.north dakota.grand forks,world.usa.north dakota.grand forks.grand forks
Minot,Minot,ND,North Dakota,Ward,49425,world.usa.north dakota,world.usa.north dakota.ward,world.usa.north dakota.ward.minot
West Fargo,West Fargo,ND,North Dakota,Cass,37058,world.usa.north dakota,world.usa.north dakota.cass,world.usa.north dakota.cass.west fargo
Williston,Williston,ND,North Dakota,Williams,29844,world.usa.north dakota,world.usa.north dakota.williams,world.usa.north dakota.williams.williston
Dickinson,Dickinson,ND,North Dakota,Stark,22872,world.usa.north dakota,world.usa.north dakota.stark,world.usa.north dakota.stark.dickinson
Mandan,Mandan,ND,North Dakota,Morton,22752,world.usa.north dakota,world.usa.north dakota.morton,world.usa.north dakota.morton.mandan
Jamestown,Jamestown,ND,North Dakota,Stutsman,14944,world.usa.north dakota,world.usa.north dakota.stutsman,world.usa.north dakota.stutsman.jamestown
Wahpeton,Wahpeton,ND,North Dakota,Richland,11067,world.usa.north dakota,world.usa.north dakota.richland,world.usa.north dakota.richland.wahpeton
Cleveland,Cleveland,OH,Ohio,Cuyahoga,1710093,world.usa.ohio,world.usa.ohio.cuyahoga,world.usa.ohio.cuyahoga.cleveland
Cincinnati,Cincinnati,OH,Ohio,Hamilton,1662691,world.usa.ohio,world.usa.ohio.hamilton,world.usa.ohio.hamilton.cincinnati
Columbus,Columbus,OH,Ohio,Franklin,1562009,world.usa.ohio,world.usa.ohio.franklin,world.usa.ohio.franklin.columbus
Dayton,Dayton,OH,Ohio,Montgomery,718353,world.usa.ohio,world.usa.ohio.montgomery,world.usa.ohio.montgomery.dayton
Akron,Akron,OH,Ohio,Summit,565208,world.usa.ohio,world.usa.ohio.summit,world.usa.ohio.summit.akron
Toledo,Toledo,OH,Ohio,Lucas,482111,world.usa.ohio,world.usa.ohio.lucas,world.usa.ohio.lucas.toledo
Youngstown,Youngstown,OH,Ohio,Mahoning,378732,world.usa.ohio,world.usa.ohio.mahoning,world.usa.ohio.mahoning.youngstown
Canton,Canton,OH,Ohio,Stark,269418,world.usa.ohio,world.usa.ohio.stark,world.usa.ohio.stark.canton
Lorain,Lorain,OH,Ohio,Lorain,180279,world.usa.ohio,world.usa.ohio.lorain,world.usa.ohio.lorain.lorain
Middletown,Middletown,OH,Ohio,Butler,97730,world.usa.ohio,world.usa.ohio.butler,world.usa.ohio.butler.middletown
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,972943,world.usa.oklahoma,world.usa.oklahoma.oklahoma,world.usa.oklahoma.oklahoma.oklahoma city
Tulsa,Tulsa,OK,Oklahoma,Tulsa,671033,world.usa.oklahoma,world.usa.oklahoma.tulsa,world.usa.oklahoma.tulsa.tulsa
Norman,Norman,OK,Oklahoma,Cleveland,116973,world.usa.oklahoma,world.usa.oklahoma.cleveland,world.usa.oklahoma.cleveland.norman
Broken Arrow,Broken Arrow,OK,Oklahoma,Tulsa,110198,world.usa.oklahoma,world.usa.oklahoma.tulsa,world.usa.oklahoma.tulsa.broken arrow
Edmond,Edmond,OK,Oklahoma,Oklahoma,94054,world.usa.oklahoma,world.usa.oklahoma.oklahoma,world.usa.oklahoma.oklahoma.edmond
Lawton,Lawton,OK,Oklahoma,Comanche,90712,world.usa.oklahoma,world.usa.oklahoma.comanche,world.usa.oklahoma.comanche.lawton
Moore,Moore,OK,Oklahoma,Cleveland,62055,world.usa.oklahoma,world.usa.oklahoma.cleveland,world.usa.oklahoma.cleveland.moore
Midwest City,Midwest City,OK,Oklahoma,Oklahoma,57407,world.usa.oklahoma,world.usa.oklahoma.oklahoma,world.usa.oklahoma.oklahoma.midwest city
Stillwater,Stillwater,OK,Oklahoma,Payne,49008,world.usa.oklahoma,world.usa.oklahoma.payne,world.usa.oklahoma.payne.stillwater
Enid,Enid,OK,Oklahoma,Garfield,47907,world.usa.oklahoma,world.usa.oklahoma.garfield,world.usa.oklahoma.garfield.enid
Portland,Portland,OR,Oregon,Multnomah,2074775,world.usa.oregon,world.usa.oregon.multnomah,world.usa.oregon.multnomah.portland
Eugene,Eugene,OR,Oregon,Lane,273439,world.usa.oregon,world.usa.oregon.lane,world.usa.oregon.lane.eugene
Salem,Salem,OR,Oregon,Marion,266804,world.usa.oregon,world.usa.oregon.marion,world.usa.oregon.marion.salem
Medford,Medford,OR,Oregon,Jackson,170876,world.usa.oregon,world.usa.oregon.jackson,world.usa.oregon.jackson.medford
Bend,Bend,OR,Oregon,Deschutes,109802,world.usa.oregon,world.usa.oregon.deschutes,world.usa.oregon.deschutes.bend
Gresham,Gresham,OR,Oregon,Multnomah,109381,world.usa.oregon,world.usa.oregon.multnomah,world.usa.oregon.multnomah.gresham
Hillsboro,Hillsboro,OR,Oregon,Washington,109128,world.usa.oregon,world.usa.oregon.washington,world.usa.oregon.washington.hillsboro
Beaverton,Beaverton,OR,Oregon,Washington,99037,world.usa.oregon,world.usa.oregon.washington,world.usa.oregon.washington.beaverton
Corvallis,Corvallis,OR,Oregon,Benton,67467,world.usa.oregon,world.usa.oregon.benton,world.usa.oregon.benton.corvallis
Springfield,Springfield,OR,Oregon,Lane,63230,world.usa.oregon,world.usa.oregon.lane,world.usa.oregon.lane.springfield
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,5649300,world.usa.pennsylvania,world.usa.pennsylvania.philadelphia,world.usa.pennsylvania.philadelphia.philadelphia
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,1703266,world.usa.pennsylvania,world.usa.pennsylvania.allegheny,world.usa.pennsylvania.allegheny.pittsburgh
Allentown,Allentown,PA,Pennsylvania,Lehigh,683794,world.usa.pennsylvania,world.usa.pennsylvania.lehigh,world.usa.pennsylvania.lehigh.allentown
Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,442289,world.usa.pennsylvania,world.usa.pennsylvania.dauphin,world.usa.pennsylvania.dauphin.harrisburg
Lancaster,Lancaster,PA,Pennsylvania,Lancaster,401524,world.usa.pennsylvania,world.usa.pennsylvania.lancaster,world.usa.pennsylvania.lancaster.lancaster
Scranton,Scranton,PA,Pennsylvania,Lackawanna,384250,world.usa.pennsylvania,world.usa.pennsylvania.lackawanna,world.usa.pennsylvania.lackawanna.scranton
Reading,Reading,PA,Pennsylvania,Berks,267155,world.usa.pennsylvania,world.usa.pennsylvania.berks,world.usa.pennsylvania.berks.reading
York,York,PA,Pennsylvania,York,233184,world.usa.pennsylvania,world.usa.pennsylvania.york,world.usa.pennsylvania.york.york
Erie,Erie,PA,Pennsylvania,Erie,184484,world.usa.pennsylvania,world.usa.pennsylvania.erie,world.usa.pennsylvania.erie.erie
Pottstown,Pottstown,PA,Pennsylvania,Montgomery,108758,world.usa.pennsylvania,world.usa.pennsylvania.montgomery,world.usa.pennsylvania.montgomery.pottstown
Providence,Providence,RI,Rhode Island,Providence,1203230,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.providence
Cranston,Cranston,RI,Rhode Island,Providence,81456,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.cranston
Warwick,Warwick,RI,Rhode Island,Kent,81004,world.usa.rhode island,world.usa.rhode island.kent,world.usa.rhode island.kent.warwick
Pawtucket,Pawtucket,RI,Rhode Island,Providence,72117,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.pawtucket
East Providence,East Providence,RI,Rhode Island,Providence,47618,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.east providence
Woonsocket,Woonsocket,RI,Rhode Island,Providence,41751,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.woonsocket
Newport,Newport,RI,Rhode Island,Newport,24334,world.usa.rhode island,world.usa.rhode island.newport,world.usa.rhode island.newport.newport
Central Falls,Central Falls,RI,Rhode Island,Providence,19568,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.central falls
Westerly,Westerly,RI,Rhode Island,Washington,17435,world.usa.rhode island,world.usa.rhode island.washington,world.usa.rhode island.washington.westerly
Valley Falls,Valley Falls,RI,Rhode Island,Providence,11828,world.usa.rhode island,world.usa.rhode island.providence,world.usa.rhode island.providence.valley falls
Charleston,Charleston,SC,South Carolina,Charleston,628377,world.usa.south carolina,world.usa.south carolina.charleston,world.usa.south carolina.charleston.charleston
Columbia,Columbia,SC,South Carolina,Richland,560041,world.usa.south carolina,world.usa.south carolina.richland,world.usa.south carolina.richland.columbia
Greenville,Greenville,SC,South Carolina,Greenville,484465,world.usa.south carolina,world.usa.south carolina.greenville,world.usa.south carolina.greenville.greenville
Myrtle Beach,Myrtle Beach,SC,South Carolina,Horry,275579,world.usa.south carolina,world.usa.south carolina.horry,world.usa.south carolina.horry.myrtle beach
Spartanburg,Spartanburg,SC,South Carolina,Spartanburg,182701,world.usa.south carolina,world.usa.south carolina.spartanburg,world.usa.south carolina.spartanburg.spartanburg
Mauldin,Mauldin,SC,South Carolina,Greenville,133872,world.usa.south carolina,world.usa.south carolina.greenville,world.usa.south carolina.greenville.mauldin
Rock Hill,Rock Hill,SC,South Carolina,York,119105,world.usa.south carolina,world.usa.south carolina.york,world.usa.south carolina.york.rock hill
North Charleston,North Charleston,SC,South Carolina,Charleston,115382,world.usa.south carolina,world.usa.south carolina.charleston,world.usa.south carolina.charleston.north charleston
