key,chosen_impact,title,relevance
OH-HB325-Y2020,None,"Designate Toni Morrison Day-February 18. ","(NLU)'Lorain, Ohio' => 'Location', 'Nobel Prize' => 'None', 'Toni Morrison' => 'None', 'Bill Clinton' => 'None', 'People from New York City' => 'Racial'"
OH-HB326-Y2019,Jobs,"PERS/SERS disability benefits continue if elected to office. ","(NLU)'Employment' => 'Jobs', 'Termination of employment' => 'Jobs', 'Retirement' => 'Jobs', 'Leave of absence' => 'Jobs', 'Leave' => 'None'"
OH-HB327-Y2019,Jobs,"Prohibit business from using a drone to deliver packages. ","(NLU)'Sole proprietorship' => 'Jobs', 'Strict liability' => 'None', 'Business' => 'None', 'Criminal law' => 'None', 'Business law' => 'None'"
OH-HB328-Y2019,Environment,"Prohibit class B firefighting foam containing PFAS chemicals. ","(NLU)'Carbon' => 'Environment', 'Software testing' => 'Jobs', 'Species' => 'Environment', 'Purpose' => 'None', 'The Class' => 'None'"
OH-HB329-Y2019,None,"Prohibit sun lamp tanning services for those under 18. ","(NLU)'Fine' => 'None', 'The Age' => 'None', 'Fiduciary' => 'None', 'Board of directors' => 'None', 'The Action' => 'None'"
OH-HB33-Y2020,Safety,"Establish animal abuse reporting requirements. ","(NLU)'Child abuse' => 'Safety', 'Health care' => 'Healthcare', 'Neglect' => 'Safety', 'Health care provider' => 'Healthcare', 'Cruelty to animals' => 'Safety'"
OH-HB330-Y2019,Environment,"Regards workers- comp experience in firefighter cancer claims. ","(NLU)'Coal' => 'Environment', 'Occupational diseases' => 'Healthcare', 'Pulmonology' => 'Healthcare', 'Police' => 'Safety', 'Sulfur dioxide' => 'Unknown'"
OH-HB331-Y2019,None,"Require campaign treasurer statement acknowledging appointment. ","(NLU)'Political action committee' => 'None', 'Elections' => 'None', 'Political party' => 'None', 'Types of business entity' => 'None', 'General election' => 'None'"
OH-HB332-Y2019,Transportation,"Designate Purple Heart Trail of Defiance Co.; Purple Heart Bridge. ","(NLU)'Ohio' => 'Location', 'Defiance, Ohio' => 'Location', 'Maumee River' => 'Location', 'U.S. Route 66' => 'Transportation', 'Fort Defiance' => 'Location'"
OH-HB333-Y2019,None,"Permit schools to contract for digital student record mgmt. ","(NLU)'High school' => 'Education', 'School district' => 'Education', 'Secondary education' => 'Education', 'College' => 'Education', 'School types' => 'Education'"
OH-HB334-Y2019,Transportation,"Designates Cpl. Fredrick Wayne Miller Memorial Highway. ","(NLU)'United States' => 'Location', 'Road' => 'Transportation', 'Ohio' => 'Location', 'United States House of Representatives' => 'None', 'West Virginia' => 'Location'"
OH-HB335-Y2019,Safety,"Require subject of certain protection orders surrender firearms. ","(NLU)'Legal terms' => 'None', 'Law enforcement agency' => 'Safety', 'Injunction' => 'None', 'Domestic violence' => 'Safety', 'Equity' => 'None'"
OH-HB336-Y2019,None,"Reinstates the Joint Education Oversight Committee. ","(NLU)'Subpoena duces tecum' => 'None', 'United States House of Representatives' => 'None', 'Subpoena ad testificandum' => 'None', 'Subpoena' => 'None', 'President' => 'None'"
OH-HB337-Y2019,Safety,"Provides privileged communications for victim advocacy services. ","(NLU)'Child abuse' => 'Safety', 'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Neglect' => 'Safety', 'Patient' => 'Healthcare'"
OH-HB338-Y2019,Safety,"Enacts Mental Health Awareness and Comm. Violence Protection Act. ","(NLU)'Legal terms' => 'None', 'Law enforcement agency' => 'Safety', 'Federal Bureau of Investigation' => 'Safety', 'Ex parte' => 'None', 'Police' => 'Safety'"
OH-HB339-Y2020,Healthcare,"Enacts the Insurance Code Correction Act. ","(NLU)'Insurance' => 'None', 'Health care' => 'Healthcare', 'Contract' => 'None', 'Health insurance' => 'Healthcare', 'Life insurance' => 'None'"
OH-HB34-Y2019,Jobs,"Increase state minimum wage/allow local higher minimums. ","(NLU)'Employment' => 'Jobs', 'Wage' => 'Jobs', 'Minimum wage' => 'Jobs', 'Fair Labor Standards Act' => 'Jobs', 'Ohio' => 'Location'"
OH-HB340-Y2020,Environment,"Revises Ohio-s drainage laws. ","(NLU)'Water management' => 'Environment', 'Soil' => 'Environment', 'Board of directors' => 'None', 'Water quality' => 'Environment', 'Corporate governance' => 'Jobs'"
OH-HB341-Y2020,Healthcare,"Regards administering addiction treatment drugs. ","(NLU)'Certified Public Accountant' => 'None', 'Felony' => 'None', 'Drug control law' => 'Healthcare', 'Registered nurse' => 'Healthcare', 'Chemical compound' => 'Unknown'"
OH-HB342-Y2019,None,"Designate Adams County Vietnam Veterans Memorial Highway. ","(NLU)'United States' => 'Location', 'Vietnam Veterans Memorial' => 'None', 'United States House of Representatives' => 'None', 'Legislature' => 'None', 'Ohio' => 'Location'"
OH-HB343-Y2019,None,"Appropriate money-emergency water and sewer system funding. ","(NLU)'Appropriation' => 'None', 'Appropriation' => 'None', 'Funding' => 'None', 'Fiscal year' => 'None', 'Finance' => 'None'"
OH-HB344-Y2019,Jobs,"Create Cleveland Clinic Children-s license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB345-Y2019,Transportation,"Obtain title to motor vehicle ordered into storage by police. ","(NLU)'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Police' => 'Safety', 'Motor vehicle' => 'Transportation'"
OH-HB346-Y2019,Healthcare,"Prohibit sale of flavored smoking/vaping devices/study risks. ","(NLU)'Tobacco' => 'Healthcare', 'Nicotine' => 'Healthcare', 'Cigarette' => 'Healthcare', 'Electronic cigarette' => 'Healthcare', 'Dipping tobacco' => 'Healthcare'"
OH-HB347-Y2019,Healthcare,"Restrict vapor product retailers. ","(NLU)'Tobacco' => 'Healthcare', 'Nicotine' => 'Healthcare', 'Cigarette' => 'Healthcare', 'Electronic cigarette' => 'Healthcare', 'Dipping tobacco' => 'Healthcare'"
OH-HB348-Y2019,Safety,"Prohibit person under protection order buying/receiving firearm. ","(NLU)'Legal terms' => 'None', 'Injunction' => 'None', 'Ex parte' => 'None', 'Lawsuit' => 'None', 'Law enforcement agency' => 'Safety'"
OH-HB349-Y2019,Safety,"Prohibit possession of large capacity magazine. ","(NLU)'Assault rifle' => 'Safety', 'Clip' => 'Unknown'"
OH-HB35-Y2019,Jobs,"Entitle Ohio-s Heartland Girl Scouts to license plate proceeds. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB350-Y2019,None,"Re-enact animal fighting and bestiality laws. ","(NLU)'Misdemeanor' => 'None', 'Felony' => 'None', 'Penis' => 'Unknown', 'Vulva' => 'Unknown', 'Blood sport' => 'None'"
OH-HB351-Y2019,None,"Terminate lease if victim of specified crime. ","(NLU)'Injunction' => 'None', 'Supreme Court of the United States' => 'None', 'Renting' => 'None', 'Appeal' => 'None', 'Supreme court' => 'None'"
OH-HB352-Y2020,None,"Modify civil rights laws relating to employment. ","(NLU)'Tort' => 'None', 'Jury' => 'None', 'Damages' => 'None', 'Law' => 'None', 'Punitive damages' => 'None'"
OH-HB353-Y2019,Transportation,"Designate Clarence _Sonny_ Smith, Jr., Highway. ","(NLU)'United States House of Representatives' => 'None', 'Youngstown, Ohio' => 'Location', 'Legislature' => 'None', 'U.S. Route 202' => 'Transportation', 'Salem, Ohio' => 'Location'"
OH-HB354-Y2019,Safety,"To improve background checks, close gaps between federal and state law, improve focus on mental health disorders and to make an appropriation. ","(NLU)'Legal terms' => 'None', 'Law enforcement agency' => 'Safety', 'Lawsuit' => 'None', 'Injunction' => 'None', 'Ex parte' => 'None'"
OH-HB355-Y2020,Transportation,"Provides immunity to camp operators for inherent camping risks. ","(NLU)'Camping' => 'None', 'Recreational vehicle' => 'Transportation', 'Backpacking' => 'None', 'Campsite' => 'Jobs', 'Recreation' => 'None'"
OH-HB356-Y2019,None,"Regards Cleveland Housing Court-s jurisdiction for local codes. ","(NLU)'Court' => 'None', 'Jurisdiction' => 'None', 'Appeal' => 'None', 'Judge' => 'None', 'Tribunal' => 'Racial'"
OH-HB357-Y2019,Environment,"Give Cleveland Housing Court environmental pollution jurisdiction. ","(NLU)'Court' => 'None', 'Environmentalism' => 'Environment', 'Pollution' => 'Environment', 'Jurisdiction' => 'None', 'Judge' => 'None'"
OH-HB358-Y2020,Healthcare,"Designate Eugene -Gene- F. Kranz Day. ","(NLU)'Blood' => 'None', 'Pregnancy' => 'Healthcare', 'Coagulopathy' => 'Healthcare', 'Hematology' => 'Unknown', 'Glanzmann's thrombasthenia' => 'Healthcare'"
OH-HB359-Y2019,Transportation,"Allow WWII vets obtain WWII license plates without taxes and fees. ","(NLU)'World War II' => 'None', 'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB36-Y2019,Environment,"Designate Monarch butterfly as official state butterfly. ","(NLU)'Monarch' => 'None', 'Illinois' => 'Location', 'Danaus' => 'None', 'Jan Krzysztof Kluk' => 'None', 'Nymphalidae' => 'Environment'"
OH-HB360-Y2019,Environment,"Require water bottle stations and drinking fountains in schools. ","(NLU)'Water' => 'Environment', 'Fountain' => 'None', 'Construction' => 'Jobs', 'Building' => 'None', 'Project management' => 'Jobs'"
OH-HB361-Y2019,None,"Designate Ohio Tuskegee Airmen Day. ","(NLU)'Year of birth missing' => 'None', 'Cleveland Browns' => 'None', 'Akron, Ohio' => 'Location', 'Major League Baseball' => 'None', 'Legislature' => 'None'"
OH-HB362-Y2019,Safety,"Create the crime of masked intimidation. ","(NLU)'Law' => 'None', 'Legislature' => 'None', 'Constitution' => 'None', 'LAW' => 'None', 'Crime' => 'Safety'"
OH-HB363-Y2019,None,"Designate Coming Out Day. ","(NLU)'Coming out' => 'None', 'Year of birth missing' => 'None', 'Civil and political rights' => 'None', 'Rights' => 'None', 'Legislature' => 'None'"
OH-HB364-Y2020,None,"Designate Aortic Aneurysm Awareness Day. ","(NLU)'United States House of Representatives' => 'None', 'United States' => 'Location', 'Thomas Jefferson' => 'None', 'Democratic Party' => 'None', 'United States Senate' => 'None'"
OH-HB365-Y2020,Healthcare,"Revise requirements for chemical dependency counselor II license. ","(NLU)'Diploma' => 'Education', 'Following' => 'None', 'Counseling' => 'Healthcare', 'Physical dependence' => 'Safety', 'Substance abuse' => 'Healthcare'"
OH-HB366-Y2019,Safety,"Revise prohibition against criminal child enticement. ","(NLU)'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Law' => 'None', 'Criminal law' => 'None', 'Felony' => 'None'"
OH-HB367-Y2020,Healthcare,"Recommend school counselor job description/designate liaisons. ","(NLU)'High school' => 'Education', 'Secondary education' => 'Education', 'School counselor' => 'Healthcare', 'School' => 'Education', 'Primary education' => 'Education'"
OH-HB368-Y2020,Safety,"Enact Ohio Computer Crimes Act. ","(NLU)'Criminal law' => 'None', 'Federal Bureau of Investigation' => 'Safety', 'Crime' => 'Safety', 'Criminology' => 'Safety', 'Law enforcement agency' => 'Safety'"
OH-HB369-Y2019,Healthcare,"Expand civil rights laws-sexual orientation/remedies/religious. ","(NLU)'Health care' => 'Healthcare', 'Sexual orientation' => 'None', 'Gender' => 'None', 'Transgender' => 'None', 'Public Land Survey System' => 'Environment'"
OH-HB37-Y2019,Safety,"Revise law about nuisance, dangerous, vicious dogs. ","(NLU)'Dog' => 'None', 'Neutering' => 'None', 'Dogs' => 'None', 'Police' => 'Safety', 'Law enforcement officer' => 'Safety'"
OH-HB370-Y2019,None,"Allow AG to defend subdivisions in First Amendment cases. ","(NLU)'First Amendment to the United States Constitution' => 'None', 'United States Constitution' => 'None', 'United States' => 'Location', 'U.S. state' => 'None', 'United States Bill of Rights' => 'None'"
OH-HB371-Y2020,None,"Grant in-state tuition if receive high school equivalence in Ohio. ","(NLU)'High school' => 'Education', 'Higher education' => 'Education', 'United States' => 'Location', 'Education' => 'Education', 'High school diploma' => 'Education'"
OH-HB372-Y2019,Transportation,"Renew driver-s license/ID cards every eight years. ","(NLU)'Motorized bicycle' => 'Transportation', 'Motor vehicle' => 'Transportation', 'Passport' => 'Transportation', 'Patent' => 'Jobs', 'Patent application' => 'Jobs'"
OH-HB373-Y2019,Jobs,"Eliminate apprentice/special auctioneer licenses/other changes. ","(NLU)'License' => 'None', 'Auction' => 'None', 'Auctioneering' => 'Jobs', 'Patent' => 'Jobs', 'Real property' => 'None'"
OH-HB374-Y2019,Healthcare,"Revise massage therapy law. ","(NLU)'Massage' => 'None', 'Physical therapy' => 'Healthcare', 'Shiatsu' => 'Healthcare', 'Ayurveda' => 'Healthcare', 'Acupressure' => 'Healthcare'"
OH-HB375-Y2019,Jobs,"Grant income tax credit-extracurricular activity fees. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Income tax' => 'Jobs', 'Tax refund' => 'None', 'Taxation' => 'None'"
OH-HB376-Y2019,Transportation,"Designate CPL Benjamin C. Dillon Memorial Highway. ","(NLU)'Interstate Highway System' => 'Transportation', 'Freeway' => 'Transportation', 'Autobahn' => 'Transportation', 'Texas' => 'Location', 'Interstate 90' => 'Transportation'"
OH-HB377-Y2019,Transportation,"Designate William _Bill_ Burgett Memorial Highway. ","(NLU)'Road' => 'Transportation', 'New York State Route 34' => 'Transportation', 'United States House of Representatives' => 'None', 'New York State Route 91' => 'Transportation', 'Legislature' => 'None'"
OH-HB378-Y2019,Jobs,"Provide unemployment benefits to strikers. ","(NLU)'Employment' => 'Jobs', 'Unemployment' => 'Jobs', 'Unemployment benefits' => 'Jobs', 'Madrasah' => 'None', 'At-will employment' => 'Jobs'"
OH-HB379-Y2019,Healthcare,"Designate Diabetic Ketoacidosis (DKA) Day. ","(NLU)'Diabetes mellitus' => 'Healthcare', 'Diabetic ketoacidosis' => 'Healthcare', 'Ketoacidosis' => 'Healthcare', 'Ketone bodies' => 'Healthcare', 'Legislatures' => 'None'"
OH-HB38-Y2020,None,"Provide credit report to businesses/allow businesses to dispute. ","(NLU)'Mortgage loan' => 'None', 'Mortgage' => 'None', 'Loan' => 'None', 'Debt' => 'None', 'Credit score' => 'None'"
OH-HB380-Y2019,Jobs,"Require owners to pay construction contractors within 35 days. ","(NLU)'Receipt' => 'None', 'Payment' => 'None', 'Contract' => 'None', 'Contract law' => 'None', 'The Contractor' => 'Jobs'"
OH-HB381-Y2019,Safety,"Enact modifications to law regarding self-defense. ","(NLU)'Criminal law' => 'None', 'Police' => 'Safety', 'Arrest' => 'Safety', 'Law enforcement agency powers' => 'Safety', 'Star Wars' => 'None'"
OH-HB382-Y2019,Jobs,"Prohibit municipal income tax-certain nonresident income. ","(NLU)'Taxation in the United States' => 'None', 'Income tax in the United States' => 'Jobs', 'Tax' => 'None', 'Limited liability company' => 'Jobs', 'Internal Revenue Service' => 'Jobs'"
OH-HB383-Y2019,Healthcare,"Designate Bleeding Disorders Awareness Month. ","(NLU)'Blood' => 'None', 'Glanzmann's thrombasthenia' => 'Healthcare', 'Legislatures' => 'None', 'Coagulopathy' => 'Healthcare', 'Legislature' => 'None'"
OH-HB384-Y2019,Transportation,"Request by residents for stop sign or lower speed limit. ","(NLU)'Speed limit' => 'Transportation', 'Local government' => 'None', 'Interstate Highway System' => 'Transportation', 'Freeway' => 'Transportation', 'Miles per hour' => 'Transportation'"
OH-HB385-Y2019,Safety,"Investigate insulin pricing. ","(NLU)'Consumer protection' => 'Safety', 'Pharmacology' => 'Healthcare', 'Drugs' => 'Healthcare', 'Attorneys general' => 'None', 'Cabinet' => 'None'"
OH-HB386-Y2019,None,"Establish Commercial Truck Driver Student Aid Program. ","(NLU)'Ohio' => 'Location', 'University' => 'Education', 'Higher education' => 'Education', 'Education' => 'Education', 'Selective Service System' => 'Military'"
OH-HB387-Y2019,Healthcare,"Cap cost-sharing for prescription insulin drugs. ","(NLU)'Pharmacology' => 'Healthcare', 'Health insurance' => 'Healthcare', 'Drugs' => 'Healthcare', 'Coinsurance' => 'None', 'Prescription drug' => 'Healthcare'"
OH-HB388-Y2020,Healthcare,"Regards out-of-network health care. ","(NLU)'Health care' => 'Healthcare', 'Health insurance' => 'Healthcare', 'Health economics' => 'Healthcare', 'Arbitration' => 'None', 'Healthcare reform' => 'Healthcare'"
OH-HB389-Y2019,Jobs,"Allow nonprofit organization to give away alcohol to raise funds. ","(NLU)'Non-profit organization' => 'Jobs', 'Fundraising' => 'None', 'Internal Revenue Code' => 'Jobs', 'Taxation in the United States' => 'None', 'Internal Revenue Service' => 'Jobs'"
OH-HB39-Y2019,Transportation,"Establish requirements for titling/use of replica motor vehicles. ","(NLU)'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Gross vehicle weight rating' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB390-Y2019,Healthcare,"Regards health insurance premiums and benefits. ","(NLU)'Health care' => 'Healthcare', 'Insurance' => 'None', 'Health insurance' => 'Healthcare', 'Health economics' => 'Healthcare', 'Medicine' => 'Healthcare'"
OH-HB391-Y2019,Jobs,"Increases state minimum wage. ","(NLU)'Employment' => 'Jobs', 'Minimum wage' => 'Jobs', 'Fair Labor Standards Act' => 'Jobs', 'Wage' => 'Jobs', 'Ohio' => 'Location'"
OH-HB392-Y2020,Transportation,"Designates Lester and Mary Oeder Memorial Highway. ","(NLU)'Road' => 'Transportation', 'United States' => 'Location', 'United States House of Representatives' => 'None', 'Legislature' => 'None', 'Warren County, Ohio' => 'Location'"
OH-HB393-Y2019,Jobs,"Make apple cider official state beverage. ","(NLU)'Tomato' => 'None', 'Fruit' => 'None', 'Ohio' => 'Location', 'Apple' => 'Jobs', 'Tomato juice' => 'None'"
OH-HB394-Y2019,Transportation,"Allow presenting veterans ID card for military license plate. ","(NLU)'Vehicle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Vehicle registration plate' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB395-Y2019,None,"Prepay postage for return of absentee ballots. ","(NLU)'Elections' => 'None', 'Mail' => 'None', 'Voting system' => 'None', 'Envelope' => 'None', 'Postal system' => 'None'"
OH-HB396-Y2019,Healthcare,"Impose requirements on pharmacy benefit managers. ","(NLU)'Insurance' => 'None', 'Managed care' => 'Healthcare', 'Health care' => 'Healthcare', 'Pharmacology' => 'Healthcare', 'Employee benefit' => 'Jobs'"
OH-HB397-Y2019,Safety,"Regards parental right of disposition for deceased adult child. ","(NLU)'Family' => 'None', 'Sibling' => 'None', 'Marriage' => 'None', 'Parent' => 'Safety', 'Death' => 'Safety'"
OH-HB398-Y2019,Jobs,"Establish day of general election as a legal holiday. ","(NLU)'Federal holidays in the United States' => 'None', 'Working time' => 'Jobs', 'Holiday' => 'None', 'Christmas controversy' => 'None', 'Holidays in the United States' => 'None'"
OH-HB399-Y2019,Jobs,"Revise laws regulating barbers and cosmetologists. ","(NLU)'Shaving' => 'None', 'Hair' => 'None', 'Barber' => 'Jobs', 'Long hair' => 'None', 'Tonsure' => 'Unknown'"
OH-HB4-Y2019,Safety,"Develop industry-recognized credential and certificate programs. ","(NLU)'Education' => 'Education', 'Access control' => 'Safety', 'Knowledge' => 'Education', 'Computer program' => 'None', 'Credential' => 'None'"
OH-HB40-Y2019,Healthcare,"Regards testing pregnant women for sex transmitted diseases. ","(NLU)'Health care' => 'Healthcare', 'Pregnancy' => 'Healthcare', 'Childbirth' => 'Healthcare', 'Medicine' => 'Healthcare', 'Nursing' => 'Healthcare'"
OH-HB400-Y2019,Jobs,"Grant income tax credit-sale of high-ethanol blend motor fuel. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Earned Income Tax Credit' => 'Jobs', 'Tax refund' => 'None', 'Taxation' => 'None'"
OH-HB401-Y2019,Environment,"Regards regulation of wind farms and wind turbine setbacks. ","(NLU)'Wind turbine' => 'Environment', 'Wind farm' => 'Environment', 'Wind power' => 'Environment', 'Floating wind turbine' => 'Environment', 'Capacity factor' => 'None'"
OH-HB402-Y2019,Jobs,"Certify and regulate interior designers. ","(NLU)'Interior design' => 'Jobs', 'Construction' => 'Jobs', 'Building code' => 'None', 'Building' => 'None', 'Architect' => 'Jobs'"
OH-HB403-Y2019,None,"Eliminate court consent when move prisoner to transition control. ","(NLU)'Felony' => 'None', 'Prison' => 'None', 'Misdemeanor' => 'None', 'Legal terms' => 'None', 'Criminal law' => 'None'"
OH-HB404-Y2020,None,"Allow state university trustees attend meetings electronically. ","(NLU)'Board of directors' => 'None', 'Management' => 'None', 'Trustee' => 'None', 'Higher education' => 'Education', 'Fiduciary' => 'None'"
OH-HB405-Y2020,Jobs,"Create adoption linked deposit program. ","(NLU)'Interest' => 'None', 'Debt' => 'None', 'Credit union' => 'Jobs', 'Savings account' => 'None', 'Mortgage loan' => 'None'"
OH-HB406-Y2019,None,"Designate and display Honor and Remember Flag. ","(NLU)'Flag of the United States' => 'None', 'Memorial Day' => 'None', 'United States' => 'Location', 'World War I' => 'None', 'Symbol' => 'Unknown'"
OH-HB407-Y2019,Healthcare,"Enact Clinician Integrity and Medical Accuracy Act. ","(NLU)'Medicine' => 'Healthcare', 'Physician' => 'Healthcare', 'Pediatrics' => 'Healthcare', 'Surgery' => 'Healthcare', 'Doctor-patient relationship' => 'Healthcare'"
OH-HB408-Y2019,Healthcare,"Regards children-s crisis care facilities. ","(NLU)'Health care' => 'Healthcare', 'Childhood' => 'None', 'Care of residents' => 'Safety', 'Medicine' => 'Healthcare', 'Licensed Professional Counselor' => 'Healthcare'"
OH-HB409-Y2020,None,"Regards attendance at computer-based community schools. ","(NLU)'High school' => 'Education', 'College' => 'Education', 'Secondary education' => 'Education', 'Education' => 'Education', 'Secondary school' => 'Education'"
OH-HB41-Y2019,Healthcare,"Prohibit insurers discriminating against living organ donors. ","(NLU)'Insurance' => 'None', 'Organ donation' => 'Healthcare', 'Actuarial science' => 'Jobs', 'Redlining' => 'Racial', 'Underwriting' => 'None'"
OH-HB410-Y2019,Jobs,"Exempt post-secondary student textbooks from sales tax. ","(NLU)'Real estate' => 'None', 'Tax exemption' => 'None', 'Real property' => 'None', 'Internal Revenue Code' => 'Jobs', 'Personal property' => 'None'"
OH-HB411-Y2019,Jobs,"Create Ohio Sons of the American Legion license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB412-Y2020,Healthcare,"Establish Rare Disease Advisory Council. ","(NLU)'United States House of Representatives' => 'None', 'Epidemiology' => 'Healthcare', 'Prevalence' => 'None', 'United States' => 'Location', 'Senate' => 'None'"
OH-HB413-Y2019,Safety,"Define offenses: aggravated abortion murder and abortion murder. ","(NLU)'Crime' => 'Safety', 'Federal Bureau of Investigation' => 'Safety', 'Criminal law' => 'None', 'Criminal justice' => 'None', 'Criminal record' => 'None'"
OH-HB414-Y2020,Jobs,"Create John F. Kennedy Catholic School license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB415-Y2019,None,"Prohibit person receiving proceeds of prostitution. ","(NLU)'Real property' => 'None', 'Real estate' => 'None', 'Personal property' => 'None', 'Property law' => 'None', 'Private property' => 'None'"
OH-HB416-Y2019,Healthcare,"Designate Health Insurance Participation Week. ","(NLU)'Health care' => 'Healthcare', 'Akron, Ohio' => 'Location', 'Statutory law' => 'None', 'Ohio' => 'Location', 'Public' => 'None'"
OH-HB417-Y2019,None,"Designate William Hoy Day. ","(NLU)'Major League Baseball' => 'None', 'Cincinnati Reds' => 'None', 'Ohio' => 'Location', 'Cleveland Indians' => 'None', 'National League' => 'None'"
OH-HB418-Y2019,Healthcare,"Regards prescription drugs and medication switching. ","(NLU)'Health care' => 'Healthcare', 'Managed care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Health insurance' => 'Healthcare', 'Health economics' => 'Healthcare'"
OH-HB419-Y2019,None,"Exempts seasonal storage/use of non-Ohio watercraft from use tax. ","(NLU)'Tax' => 'None', 'Tax exemption' => 'None', 'Sales tax' => 'None', 'Taxation in the United States' => 'None', 'Property law' => 'None'"
OH-HB42-Y2019,Transportation,"Add representation of Wright flyer to state seal. ","(NLU)'Wright brothers' => 'None', 'Dayton, Ohio' => 'Location', 'Wright Flyer' => 'None', 'Coat of arms' => 'None', 'First flying machine' => 'Transportation'"
OH-HB420-Y2019,Healthcare,"Increase frequency prescriptions refilled in emergencies. ","(NLU)'Medical prescription' => 'Healthcare', 'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Pharmacology' => 'Healthcare', 'Dispensing' => 'Unknown'"
OH-HB421-Y2020,Safety,"Provide immunity to hospital police officers. ","(NLU)'Constable' => 'None', 'Police officer' => 'Safety', 'Police' => 'Safety', 'Police brutality' => 'Safety', 'Unincorporated area' => 'Safety'"
OH-HB422-Y2019,Transportation,"Designate John Pasko Memorial Highway. ","(NLU)'Interstate Highway System' => 'Transportation', 'Freeway' => 'Transportation', 'Autobahn' => 'Transportation', 'Road' => 'Transportation', 'Interstate 95 in Pennsylvania' => 'Transportation'"
OH-HB423-Y2019,None,"Revise manufactured home financing law. ","(NLU)'Mortgage loan' => 'None', 'Mortgage' => 'None', 'Loan' => 'None', 'Fixed rate mortgage' => 'None', 'Debt' => 'None'"
OH-HB424-Y2020,Transportation,"Designate SGT Richard E. Wagner Memorial Highway. ","(NLU)'Ohio' => 'Location', 'Road' => 'Transportation', 'Legislature' => 'None', 'Motorway' => 'Transportation', 'Freeway' => 'Transportation'"
OH-HB425-Y2020,Safety,"Modify duty-notify police if carrying gun when stopped. ","(NLU)'Firearm' => 'Safety', 'Concealed carry in the United States' => 'Safety', 'Gun laws in the United States' => 'Safety', 'Criminal law' => 'None'"
OH-HB426-Y2019,Healthcare,"Regulate hospice transport/modify ambulance laws. ","(NLU)'Emergency medical services' => 'Healthcare', 'Emergency medical technician' => 'Healthcare', 'Ambulance' => 'Healthcare', 'Health care' => 'Healthcare', 'Emergency medicine' => 'Healthcare'"
OH-HB427-Y2019,Environment,"Alter requirements-secondary contaminants-safe drinking water. ","(NLU)'Drinking water' => 'Environment', 'United States Environmental Protection Agency' => 'Environment', 'Safe Drinking Water Act' => 'Environment', 'Public water system' => 'Environment', 'Water' => 'Environment'"
OH-HB428-Y2019,Transportation,"Obtain veterans ID card if Public Health Service or NOAA. ","(NLU)'Passport' => 'Transportation', 'Veteran' => 'None', 'United States' => 'Location', 'Identity document' => 'None', 'U.S. state' => 'None'"
OH-HB429-Y2020,None,"Change Address Confidentiality Program. ","(NLU)'Address' => 'None'"
OH-HB43-Y2019,Jobs,"Eliminate first refusal of school property by certain schools. ","(NLU)'Real estate' => 'None', 'Property tax' => 'None', 'High school' => 'Education', 'Board of directors' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB430-Y2020,Jobs,"Create Elder High School license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB431-Y2020,Safety,"Create Sexual Exploitation Database. ","(NLU)'Crime' => 'Safety', 'Criminology' => 'Safety', 'Misdemeanor' => 'None', 'Felony' => 'None', 'Criminal law' => 'None'"
OH-HB432-Y2019,Safety,"Grant Ohio occupational licenses to out-of-state licensees. ","(NLU)'Police' => 'Safety', 'Constable' => 'None', 'Law enforcement occupations' => 'Safety', 'Criminal law' => 'None', 'Company police' => 'Unknown'"
