key,chosen_impact,title,summary,relevance
OH-HB256-Y2019,Jobs,"Create Liberty Center Local Schools license plate. ","To amend section and to enact section of the Revised Code to create the _Liberty Center Local Schools_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB257-Y2019,Transportation,"Designate PFC M. Preston Wheeler Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 125 in Brown County as the _PFC M. Preston Wheeler Memorial Highway._. ","(NLU)'United States House of Representatives' => 'None', 'Ohio' => 'Location', 'Legislature' => 'None', 'Louisiana' => 'Location', 'Road' => 'Transportation'"
OH-HB258-Y2019,Healthcare,"Grant occupational license to those completing apprenticeship. ","To amend sections and to enact section of the Revised Code to require a licensing authority to issue an occupational license to an applicant who completes a registered apprenticeship program and meets other requirements for licensure. ","(NLU)'Licensure' => 'None', 'Emergency medical services' => 'Healthcare', 'Boiler' => 'None', 'License' => 'None', 'Engineering' => 'Jobs'"
OH-HB259-Y2019,Transportation,"Designate SGT David S. Harris Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 4 in Marion County as the _SGT David S. Harris Memorial Highway._. ","(NLU)'Road' => 'Transportation', 'Ohio' => 'Location', 'Marion, Ohio' => 'Location', 'United States House of Representatives' => 'None', 'Nevada' => 'Location'"
OH-HB26-Y2019,Transportation,"Designate Col. Donald Blakeslee Memorial Bridge. ","To enact section of the Revised Code to designate the bridge spanning the Grand River that is a part of Fairport Road, in Lake County, as the _Col. Donald Blakeslee Memorial Bridge._. ","(NLU)'Lake County, Ohio' => 'Location', 'Villages in Ohio' => 'None', 'Grand River' => 'Location', 'Fairport Harbor, Ohio' => 'Location', 'Road' => 'Transportation'"
OH-HB260-Y2019,Environment,"Affects nuclear and renewable energy and energy efficiency. ","To amend ; to enact sections of the Revised Code to maintain operations of certified clean air resources, establish the Ohio generation and jobs incentive program and the energy performance and waste reduction program, and make changes regarding wind turbine siting. ","(NLU)'Public utility' => 'Environment', 'Renewable energy' => 'Environment', 'Wind power' => 'Environment', 'Electricity distribution' => 'Environment', 'Public utilities' => 'Environment'"
OH-HB261-Y2019,None,"Specify term of Franklin County domestic relations judge. ","To amend sections of the Revised Code to specify that the domestic relations judge of the Franklin County Court of Common Pleas to be elected in 2020 will take office on January 3, 2021, and to remove the municipal corporation of Trenton from the jurisdiction of the Hamilton and Middletown municipal courts and to amend the version of section of the Revised Code that is scheduled to take effect January 1, 2020, to continue the provisions of this act on and after that effective date. ","(NLU)'Ohio counties' => 'Location', 'Cuyahoga County, Ohio' => 'Location', 'Illinois counties' => 'Location', 'Indiana counties' => 'Location', 'Kentucky counties' => 'Location'"
OH-HB262-Y2019,Jobs,"Create Folds of Honor license plate. ","To amend sections and to enact sections of the Revised Code to create multiple nonstandard license plates. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Charitable organization' => 'None', 'Internal Revenue Code' => 'Jobs', 'School' => 'Education'"
OH-HB263-Y2020,Safety,"Revise occupational license restrictions for former criminals. ","To amend ; to enact ; and to repeal section of the Revised Code to revise the initial occupational licensing restrictions applicable to individuals convicted of criminal offenses. ","(NLU)'Criminal law' => 'None', 'Criminal record' => 'None', 'Crime' => 'Safety', 'Conviction' => 'None', 'Plea' => 'None'"
OH-HB264-Y2020,Environment,"Refinance loans for water and waste water infrastructure projects. ","To amend sections and to enact sections of the Revised Code to allow the Ohio Water Development Authority to provide for the refinancing of loans for certain public water and waste water infrastructure projects, to waive certain deadlines for qualifying renewable resources that applied for renewable energy credits before March 1, 2020, and to provide for payment of Ohio Air Quality Development Authority administrative costs under the law governing nuclear resource and renewable energy credits. ","(NLU)'Water' => 'Environment', 'Water management' => 'Environment', 'Water resources' => 'Environment', 'Water supply' => 'Environment', 'Wastewater' => 'Environment'"
OH-HB265-Y2019,Healthcare,"Create dementia care certificate. ","To enact sections of the Revised Code to create a dementia care certificate. ","(NLU)'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Healthcare' => 'Healthcare', 'Individual' => 'None', 'Person' => 'None'"
OH-HB266-Y2019,Transportation,"Designate SGT Michael Keith Hamner Memorial Highway. ","To enact section of the Revised Code to designate a portion of U.S. Route 23 in Ross County as the _SGT Michael Keith Hamner Memorial Highway._. ","(NLU)'United States' => 'Location', 'Freeway' => 'Transportation', 'United States House of Representatives' => 'None', 'Legislature' => 'None', 'Road' => 'Transportation'"
OH-HB267-Y2019,Transportation,"Designate LTC Kevin Sonnenberg Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 65 in Henry County as the _LTC Kevin Sonnenberg Memorial Highway._. ","(NLU)'United States House of Representatives' => 'None', 'Legislature' => 'None', 'Louisiana' => 'Location', 'Ohio' => 'Location', 'Road' => 'Transportation'"
OH-HB268-Y2019,Jobs,"Prohibit employer taking adverse action against unvaccinated. ","To enact section of the Revised Code to enact the _Medical Consumer Protection Act_ to prohibit an employer from taking an adverse employment action against a person who has not been or will not be vaccinated. ","(NLU)'Religion' => 'None', 'Jurisdiction' => 'None', 'Employment' => 'Jobs', 'United States' => 'Location', 'Pleading' => 'None'"
OH-HB269-Y2019,None,"Address Somali and East African affairs in Ohio. ","To amend section and to enact sections of the Revised Code to establish the Commission on Somali and East African Affairs and the Office of Somali and East African Affairs, and to make an appropriation. ","(NLU)'United States House of Representatives' => 'None', 'United States Senate' => 'None', 'Member of Parliament' => 'None', 'East Africa' => 'Racial', 'African people' => 'Racial'"
OH-HB27-Y2019,Healthcare,"Modify subdivision liability for negligent operation of vehicle. ","To amend sections of the Revised Code to modify political subdivision liability for an employee-s negligent operation of a motor vehicle. ","(NLU)'Tort' => 'None', 'Emergency medical services' => 'Healthcare', 'Pleading' => 'None', 'Law' => 'None', 'Tort law' => 'None'"
OH-HB270-Y2020,Jobs,"Enact Unclaimed Funds Reform Act. ","To amend ; to enact ; and to repeal section of the Revised Code to create the Unclaimed Funds Reform Act. ","(NLU)'Time deposit' => 'None', 'Money' => 'Jobs', 'Deposit account' => 'None', 'Certificate of deposit' => 'None', 'Property' => 'None'"
OH-HB271-Y2019,Jobs,"Regards smoke detectors in residential premises. ","To amend section and to enact section of the Revised Code to amend the law regarding smoke detectors in residential premises. ","(NLU)'Building' => 'None', 'Construction' => 'Jobs', 'Fire protection' => 'Safety', 'Smoke' => 'Unknown', 'State' => 'None'"
OH-HB272-Y2020,None,"Expand court jurisdiction to any constitutional basis. ","To amend section and to enact sections of the Revised Code to expand the basis of a court-s exercise of personal jurisdiction to include any basis consistent with the Ohio Constitution and the United States Constitution, to prohibit a public official from ordering the closure of all places of worship in a geographic area, and to prohibit a public official from changing the time, place, or manner of conducting an election, except in certain circumstances. ","(NLU)'United States Constitution' => 'None', 'United States' => 'Location', 'Jurisdiction' => 'None', 'U.S. state' => 'None', 'Ohio' => 'Location'"
OH-HB273-Y2019,None,"Permit second publishing of delinquent property tax list online. ","To amend section of the Revised Code to permit the second publication of a county delinquent property tax list to be made online instead of in a newspaper. ","(NLU)'Newspaper' => 'None', 'List' => 'None', 'Land value tax' => 'None', 'Lists' => 'None', 'Tax' => 'None'"
OH-HB274-Y2019,Jobs,"Create Ronald McDonald House Charities license plate. ","To amend section and to enact section of the Revised Code to create the _Ronald McDonald House Charities_ License Plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB275-Y2019,Transportation,"Designate SGT Arthur A. Mora, Jr., Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 25 in Wood County as the _SGT Arthur A. Mora, Jr. Memorial Highway._. ","(NLU)'U.S. state' => 'None', 'United States' => 'Location', 'New York State Route 25A' => 'Transportation', 'State' => 'None', 'United States House of Representatives' => 'None'"
OH-HB276-Y2020,None,"Designate SEAL Edward C. Byers, Jr., Medal of Honor Recipient Hwy. ","To amend sections and to enact sections of the Revised Code to designate and change the name and location of multiple memorial highways and bridges. ","(NLU)'Ohio counties' => 'Location', 'Illinois counties' => 'Location', 'Indiana counties' => 'Location', 'Kentucky counties' => 'Location', 'Tennessee counties' => 'Location'"
OH-HB277-Y2020,Safety,"Revise law about electronic recording of custodial interrogations. ","To amend section of the Revised Code to revise the law governing the electronic recording of custodial interrogations. ","(NLU)'Law' => 'None', 'Supreme Court of the United States' => 'None', 'Criminal law' => 'None', 'Habeas corpus' => 'None', 'Miranda v. Arizona' => 'Safety'"
OH-HB278-Y2019,Transportation,"Designate Steven Lowell Cook Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 800 in Belmont County as the _Steven Lowell Cook Memorial Highway._. ","(NLU)'Motorway' => 'Transportation', 'Connecticut' => 'Location', 'Freeway' => 'Transportation', 'Autobahn' => 'Transportation', 'Road' => 'Transportation'"
OH-HB279-Y2019,Healthcare,"Removes limits on prosecuting and proving certain sex offenses. ","To amend sections and to enact section of the Revised Code to eliminate the spousal exceptions for certain sex offenses, to permit a person to testify against the person-s spouse in a prosecution for any of those offenses, to eliminate the period of limitation for the criminal prosecution of a person for rape and for a civil action brought by a victim of conduct that would constitute rape, and to amend the versions of sections of the Revised Code that are scheduled to take effect March 22, 2020, to continue the provisions of this act on and after that effective date. ","(NLU)'Sexual intercourse' => 'Unknown', 'Criminal law' => 'None', 'Human sexual behavior' => 'Healthcare', 'Criminology' => 'Safety', 'Police' => 'Safety'"
OH-HB28-Y2019,Transportation,"Designate James H. Hough Memorial Highway. ","To enact section of the Revised Code to designate a portion of Interstate Route 71 in Franklin County as the _James H. Hough Memorial Highway._. ","(NLU)'Interstate Highway System' => 'Transportation', 'Freeway' => 'Transportation', 'Autobahn' => 'Transportation', 'Interstate 10' => 'Transportation', 'Texas' => 'Location'"
OH-HB280-Y2019,Jobs,"Create St. Charles Preparatory School license plate. ","To amend section and to enact section of the Revised Code to create the _St. Charles Preparatory School_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB281-Y2019,None,"Require designating high school valedictorians and salutatorians. ","To enact section of the Revised Code to require each school district board to designate one valedictorian and one salutatorian at each high school operated by the district. ","(NLU)'High school' => 'Education', 'Valedictorian' => 'Education', 'School' => 'Education', 'Education' => 'Education', 'Ohio' => 'Location'"
OH-HB282-Y2020,Safety,"Permit use of electronic instant bingo devices. ","To amend sections and to enact sections of the Revised Code to allow charitable organizations to conduct electronic instant bingo and to make other changes to the law governing bingo. ","(NLU)'Criminal law' => 'None', 'Federal Bureau of Investigation' => 'Safety', 'Crime' => 'Safety', 'Conviction' => 'None', 'Criminal record' => 'None'"
OH-HB283-Y2019,None,"Create Competitive Global Air Service Development Grant Program. ","To enact section of the Revised Code to create the Competitive Global Air Service Development Grant Program and to make an appropriation. ","(NLU)'Fiscal year' => 'None', 'Appropriation' => 'None', 'Appropriation' => 'None', 'Ulysses S. Grant' => 'None', 'Ohio' => 'Location'"
OH-HB284-Y2019,Transportation,"Designate Robert E. Turney Memorial Highway. ","To enact section of the Revised Code to designate a portion of U.S. Route 36 in Tuscarawas County as the _Robert E. Turney Memorial Highway._. ","(NLU)'United States' => 'Location', 'Road' => 'Transportation', 'United States House of Representatives' => 'None', 'Motorway' => 'Transportation', 'Freeway' => 'Transportation'"
OH-HB285-Y2020,Jobs,"Establish Driver-s License Reinstatement Fee Debt Reduction Prog. ","To enact sections of the Revised Code to establish a permanent Driver-s License Reinstatement Fee Debt Reduction and Amnesty Program. ","(NLU)'Fee' => 'None', 'Money' => 'Jobs', 'Christopher Nolan' => 'Healthcare', 'Interest' => 'None', 'Following' => 'None'"
OH-HB286-Y2019,Jobs,"Change Freemason license plate. ","To amend sections of the Revised Code to make changes to the _Freemason_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB287-Y2020,None,"Regards Medicaid waivers for relatives of active duty military. ","To enact section of the Revised Code regarding Medicaid home and community-based waiver services for relatives of active duty military. ","(NLU)'United States House of Representatives' => 'None', 'Thomas Jefferson' => 'None', 'Democratic Party' => 'None', 'United States Senate' => 'None', 'Senate' => 'None'"
OH-HB288-Y2019,None,"Amend eminent domain laws. ","To enact section of the Revised Code to amend the law regarding eminent domain and to declare an emergency. ","(NLU)'Law' => 'None', 'Property' => 'None', 'Eminent domain' => 'None', 'Backpacking' => 'None', 'Expropriation' => 'None'"
OH-HB289-Y2019,Transportation,"Revise elevator laws. ","To amend sections and to enact sections of the Revised Code to revise the Elevator Law. ","(NLU)'Elevator' => 'Transportation', 'Appeal' => 'None', 'Appellate court' => 'None', 'Supreme Court of the United States' => 'None', 'Court' => 'None'"
OH-HB29-Y2019,Environment,"Prohibit selling dextromethorphan to person under 18. ","To enact section of the Revised Code to prohibit sales of dextromethorphan without a prescription to persons under age 18. ","(NLU)'Sales' => 'None', 'Federal government of the United States' => 'None', 'Species' => 'Environment', 'Sale' => 'None', 'The Sale' => 'None'"
OH-HB290-Y2019,Healthcare,"Revoke professional licenses for criminal misconduct. ","To amend sections , to enact sections of the Revised Code, and to amend the version of section of the Revised Code that is scheduled to take effect March 22, 2020, to prohibit unlawful sexual contact between health care professionals and patients and to revoke professional licenses for criminal misconduct. ","(NLU)'Sexual intercourse' => 'Unknown', 'Health care' => 'Healthcare', 'Arraignment' => 'None', 'Felony' => 'None', 'Human sexuality' => 'Healthcare'"
OH-HB291-Y2019,Healthcare,"Privilege communications-first responder peer recovery supporters. ","To amend section of the Revised Code to provide privileged testimonial communications between a peer recovery supporter and a fellow first responder exhibiting signs of distress. ","(NLU)'Health care' => 'Healthcare', 'Health care provider' => 'Healthcare', 'Nursing' => 'Healthcare', 'Advanced practice nurse' => 'Unknown', 'Mental health professional' => 'Healthcare'"
OH-HB292-Y2019,Healthcare,"Provide universal health care coverage. ","To amend section and to enact sections of the Revised Code to establish and operate the Ohio Health Care Plan to provide universal health care coverage to all Ohio residents. ","(NLU)'Medicine' => 'Healthcare', 'Health economics' => 'Healthcare', 'Health care' => 'Healthcare', 'Public health' => 'Healthcare', 'Healthcare' => 'Healthcare'"
OH-HB293-Y2019,Transportation,"Designate Patrolman David L. Sterner Memorial Overpass. ","To enact section of the Revised Code to designate the overpass on State Route 37 that spans State Route 15 in Hancock County as the _Patrolman David L. Sterner Memorial Overpass._. ","(NLU)'Pendleton, Oregon' => 'Location', 'U.S. Route 206' => 'Transportation', 'Oregon Route 334' => 'Transportation', 'Indiana' => 'Location', 'United States House of Representatives' => 'None'"
OH-HB294-Y2019,Safety,"Modify school bullying, intimidation, harassment definitions. ","To amend section of the Revised Code to modify the definition of school harassment, intimidation, or bullying. ","(NLU)'Bullying' => 'Safety', 'Abuse' => 'Safety', 'Psychological abuse' => 'Safety', 'High school' => 'Education', 'School' => 'Education'"
OH-HB295-Y2020,Transportation,"Establish requirements for low-speed electric scooters. ","To amend sections and to enact section of the Revised Code to establish requirements governing low-speed micromobility devices and to make other changes to the law related to special modes of transportation. ","(NLU)'Vehicle' => 'Transportation', 'Motorized bicycle' => 'Transportation', 'Vehicles' => 'Transportation', 'Automobile' => 'Transportation', 'Motor vehicle' => 'Transportation'"
OH-HB296-Y2019,Jobs,"Create Healthy New Albany license plate. ","To amend section and to enact section of the Revised Code to create the _Healthy New Albany_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB297-Y2019,Jobs,"Grant tax credit-contribute cash to pregnancy resource center. ","To amend sections and to enact section of the Revised Code to authorize a nonrefundable income tax credit for a taxpayer-s cash contributions to qualifying pregnancy resource centers. ","(NLU)'Taxation in the United States' => 'None', 'Tax' => 'None', 'Tax refund' => 'None', 'Income tax' => 'Jobs', 'Taxation' => 'None'"
OH-HB298-Y2019,Safety,"Modify statute of limitations for child abuse and neglect. ","To amend section of the Revised Code to modify the period of limitation for prosecution of offenses involving child abuse and neglect. ","(NLU)'Misdemeanor' => 'None', 'Child abuse' => 'Safety', 'DNA' => 'Healthcare', 'Felony' => 'None', 'Neglect' => 'Safety'"
OH-HB299-Y2019,Safety,"Enhance penalty for crimes against correction and parole officers. ","To amend sections of the Revised Code to enhance penalties for certain crimes against corrections officers, parole officers, probation officers, and parole board members. ","(NLU)'Criminal law' => 'None', 'Misdemeanor' => 'None', 'Assault' => 'Safety', 'Crime' => 'Safety', 'Felony' => 'None'"
OH-HB3-Y2020,Safety,"Address high-risk domestic violence and victimization. ","To amend ; to amend, for the purpose of adopting a new section number as indicated in parentheses, ; and to enact new sectionsof the Revised Code; and to amend Section of H.B. 166 of the 133rd General Assembly to add domestic violence circumstances to the offense of aggravated murder, to expand the offense of domestic violence to also prohibit strangulation of a family or household member, to require law enforcement officers to utilize a qualified lethality assessment screening tool to refer high risk victims to domestic violence resources, to create the Domestic Violence Prosecution Study Committee, to name this act Aisha-s Law, and to make an appropriation. ","(NLU)'Felony' => 'None', 'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Domestic violence' => 'Safety', 'Criminal law' => 'None'"
OH-HB30-Y2019,Environment,"Prohibit pet food containing animal euthanized by injection. ","To amend sections of the Revised Code to prohibit pet food from containing remains from any dog or cat or from any other animal that was euthanized by the use of an injected drug. ","(NLU)'Meaning of life' => 'None', 'Section' => 'None', 'Pesticide' => 'Environment', 'Federal' => 'None', 'Distributor' => 'None'"
OH-HB300-Y2019,Jobs,"Create Rabbit Friendly license plate. ","To amend section and to enact section of the Revised Code to create the _Rabbit Friendly_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Non-profit organization' => 'Jobs', 'Charitable organization' => 'None'"
OH-HB301-Y2019,None,"Establish process-obtain title to aircraft left on property. ","To enact section of the Revised Code to establish a process by which a person may obtain title to an aircraft that has been left on the person-s property. ","(NLU)'Property' => 'None', 'Ownership' => 'None', 'Lien' => 'None', 'Easement' => 'None', 'Title' => 'None'"
OH-HB302-Y2019,Safety,"Include child abuse-related offenses in violent offender database. ","To amend section of the Revised Code to include certain child abuse-related offenses in the violent offender database, to name the act Jacob-s Law, and to make an appropriation. ","(NLU)'Crime' => 'Safety', 'Appropriation' => 'None', 'Appropriation' => 'None', 'Plea' => 'None', 'Fiscal year' => 'None'"
OH-HB303-Y2019,Transportation,"Designate PFC Steven D. Smith Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 13 in Richland County as the _PFC Steven D. Smith Memorial Highway._. ","(NLU)'Mansfield, Ohio' => 'Location', 'Richland County, Ohio' => 'Location', 'Columbia, South Carolina' => 'Location', 'New York State Route 34' => 'Transportation', 'Ohio' => 'Location'"
OH-HB304-Y2019,Jobs,"Enact Equal Pay Act. ","To amend sections and to enact sections of the Revised Code to enact the Ohio Equal Pay Act to require state contractors and economic incentive recipients to obtain an equal pay certificate, to require public employers to establish a job evaluation system to identify and eliminate sex-based wage disparities, to prohibit employers from seeking a prospective employee-s wage or salary history, and to prohibit employer retaliation against an employee who discusses salary or wage rates with another employee. ","(NLU)'Wage' => 'Jobs', 'Collective bargaining' => 'Jobs', 'Types of business entity' => 'None', 'Employment' => 'Jobs', 'Trade union' => 'Jobs'"
OH-HB305-Y2019,Jobs,"Create new school financing system. ","To amend ; to enact new ; and to repeal. ","(NLU)'High school' => 'Education', 'School' => 'Education', 'Vocational school' => 'Jobs', 'Higher education' => 'Education', 'Education' => 'Education'"
OH-HB306-Y2019,Jobs,"Create Habitat for Humanity of Ohio license plate. ","To amend section and to enact section of the Revised Code to create the _Habitat for Humanity of Ohio_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB307-Y2019,Safety,"Increase penalties for voyeurism. ","To amend section of the Revised Code to increase the penalties for the offense of voyeurism. ","(NLU)'Misdemeanor' => 'None', 'Crime' => 'Safety', 'Felony' => 'None', 'Summary offence' => 'None', 'Assault' => 'Safety'"
OH-HB308-Y2020,Healthcare,"Concerns workers- compensation and disability retirement for PTSD. ","To amend sections and to enact sections of the Revised Code concerning workers- compensation and disability retirement for peace officers, firefighters, and emergency medical workers diagnosed with post-traumatic stress disorder arising from employment without an accompanying physical injury. ","(NLU)'Insurance' => 'None', 'Emergency medical services' => 'Healthcare', 'Emergency medical technician' => 'Healthcare', 'Employment' => 'Jobs', 'Paramedic' => 'Healthcare'"
OH-HB309-Y2019,Transportation,"Increase penalties-assault of transit operator/evading fares. ","To amend sections and to enact section of the Revised Code to increase the penalty for assault when the victim is an operator of an Ohio transit system bus or rail car; to authorize Ohio transit systems to post a sign regarding abuse or assault of staff; and to increase the penalty for evading payment of the known fares of a public transportation system. ","(NLU)'Public transport' => 'Transportation', 'Health care' => 'Healthcare', 'Misdemeanor' => 'None', 'Health care provider' => 'Healthcare', 'Rail transport' => 'Transportation'"
OH-HB31-Y2019,Transportation,"Designate Lance Corporal James Sprowl Memorial Highway. ","To enact section of the Revised Code to designate a portion of State Route 99 in Huron County as the _Lance Corporal James Sprowl Memorial Highway._. ","(NLU)'Section' => 'None', 'Lance Corporal' => 'None', 'Road' => 'Transportation', 'Corporal' => 'None', 'Fireteam' => 'None'"
OH-HB310-Y2019,Safety,"Enacts Anti-Bullying and Hazing Act. ","To amend sections and to enact sections of the Revised Code to enact the _Ohio Anti-Bullying and Hazing Act_ with regard to school discipline and bullying and hazing policies at public schools and colleges. ","(NLU)'High school' => 'Education', 'Secondary education' => 'Education', 'Abuse' => 'Safety', 'College' => 'Education', 'Higher education' => 'Education'"
OH-HB311-Y2019,None,"Authorizes counties to obtain a county inspector general. ","To amend section and to enact sections of the Revised Code to authorize counties to request and obtain a county inspector general to investigate wrongful acts or omissions in county and other political subdivision government. ","(NLU)'Fraud' => 'None', 'Inspector' => 'None', 'Inspector General' => 'None', 'Royal Ulster Constabulary' => 'None', 'Office of the Inspector General' => 'None'"
OH-HB312-Y2019,None,"Permits certain intrastate equity crowdfunding. ","To amend sections and to enact sections of the Revised Code to permit intrastate equity crowdfunding under certain circumstances. ","(NLU)'U.S. Securities and Exchange Commission' => 'None', 'Stock' => 'None', 'Stock market' => 'None', 'Stock exchange' => 'Unknown', 'Bond' => 'None'"
OH-HB313-Y2019,Jobs,"Create Ohio Daughters of American Revolution license plate. ","To amend section and to enact section of the Revised Code to create the _Ohio Society Daughters of the American Revolution_ license plate. ","(NLU)'Ohio' => 'Location', 'High school' => 'Education', 'Internal Revenue Code' => 'Jobs', 'Charitable organization' => 'None', 'Non-profit organization' => 'Jobs'"
OH-HB314-Y2019,None,"Create Anti-Prostitution Grant Program Fund. ","To enact section of the Revised Code to create the anti-prostitution grant program fund and to make an appropriation. ","(NLU)'Ohio' => 'Location', 'Appropriation' => 'None', 'Appropriation' => 'None', 'Fiscal year' => 'None', 'Source code' => 'None'"
OH-HB315-Y2019,Safety,"Require gun dealers give suicide prevention information. ","To amend sections of the Revised Code to require federally licensed firearms dealers to provide suicide prevention information to the purchaser of a firearm. ","(NLU)'Handgun' => 'Safety', 'Gun' => 'Safety', 'Antique guns' => 'Safety', 'Firearm Owners Protection Act' => 'Safety', 'Firearm' => 'Safety'"
OH-HB316-Y2019,Safety,"Get court order temporarily restricting access to guns. ","To amend sections and to enact sections of the Revised Code to enact the Extreme Risk Protection Order Act to allow family members, household members, and law enforcement officers to obtain a court order that temporarily restricts a person-s access to firearms if that person poses a danger to themselves or others. ","(NLU)'Federal Bureau of Investigation' => 'Safety', 'Law enforcement agency' => 'Safety', 'Crime' => 'Safety', 'Misdemeanor' => 'None', 'Police' => 'Safety'"
OH-HB317-Y2019,Safety,"Limit how gun may be transferred and require background check. ","To amend sections and to enact section of the Revised Code to enact the Protect Law Enforcement Act to require a firearm transfer to be made through a dealer, through a law enforcement agency, or pursuant to a specified exception, and to require a background check when a firearm is transferred. ","(NLU)'Police' => 'Safety', 'Law enforcement agency' => 'Safety', 'Misdemeanor' => 'None', 'Law' => 'None', 'Appeal' => 'None'"
OH-HB318-Y2019,Healthcare,"Regards sales of kratom products. ","To amend sections and to enact sections of the Revised Code regarding sales of kratom products. ","(NLU)'Food' => 'None', 'Food and Drug Administration' => 'Healthcare', 'New Drug Application' => 'Healthcare', 'Retailing' => 'None', 'Food processing' => 'Jobs'"
OH-HB319-Y2019,None,"Restore local authority to regulate firearm-related conduct. ","To repeal section of the Revised Code and to repeal on December 28, 2019, the version of section of the Revised Code that is scheduled to take effect on that date, to restore local authority to generally regulate firearms-related conduct. ","(NLU)'Statutory law' => 'None', 'Repeal' => 'None', 'Act of Congress' => 'None', 'Local government' => 'None', 'General' => 'None'"
OH-HB32-Y2019,None,"Suggest ceremonial procedure for retiring state flag. ","To enact section of the Revised Code to create a suggested ceremonial procedure for retiring an Ohio state flag. ","(NLU)'U.S. state' => 'None', 'Ohio' => 'Location', 'Columbus, Ohio' => 'Location', 'West Virginia' => 'Location', 'Michigan' => 'Location'"
OH-HB320-Y2019,Safety,"Prohibit dealer transferring firearm if background check pending. ","To amend section of the Revised Code to prohibit a federally licensed firearms dealer from transferring a firearm while a background check is pending unless 30 days have elapsed. ","(NLU)'Suppressor' => 'None', 'Handgun' => 'Safety', 'Gun' => 'Safety', 'Identity theft' => 'Safety', 'Firearm' => 'Safety'"
OH-HB321-Y2019,Safety,"Regards age-appropriate child sex abuse instruction. ","To amend sections and to enact sections of the Revised Code with respect to age-appropriate student instruction in child sexual abuse and sexual violence prevention and in-service staff training in child sexual abuse prevention. ","(NLU)'Child abuse' => 'Safety', 'Sexual abuse' => 'Safety', 'Domestic violence' => 'Safety', 'High school' => 'Education', 'Child sexual abuse' => 'Safety'"
OH-HB322-Y2019,Jobs,"Revise Ohio Teacher Residency Program. ","To amend sections of the Revised Code to revise the Ohio Teacher Residency Program. ","(NLU)'Teacher' => 'Jobs', 'Education' => 'Education', 'Profession' => 'Jobs', 'School' => 'Education', 'Substitute teacher' => 'Jobs'"
OH-HB323-Y2019,Healthcare,"Authorize psychologists to prescribe drugs/therapeutic devices. ","To amend sections and to enact sections of the Revised Code to authorize certain psychologists to prescribe drugs and therapeutic devices as part of the practice of psychology. ","(NLU)'Felony' => 'None', 'Drug addiction' => 'Healthcare', 'Controlled Substances Act' => 'Healthcare', 'Drugs' => 'Healthcare', 'Misdemeanor' => 'None'"
OH-HB324-Y2019,None,"Raise limits on noneconomic and punitive damages in tort actions. ","To amend sections of the Revised Code to raise the limitations on damages for noneconomic loss and punitive damages in certain tort actions based on adjustments for inflation from the year 2005 to 2019. ","(NLU)'Tort' => 'None', 'Jury' => 'None', 'Plaintiff' => 'None', 'Lawsuit' => 'None', 'Judgment' => 'None'"
OH-HB325-Y2020,None,"Designate Toni Morrison Day-February 18. ","To enact section of the Revised Code to designate February 18 as _Toni Morrison Day._. ","(NLU)'Lorain, Ohio' => 'Location', 'Nobel Prize' => 'None', 'Toni Morrison' => 'None', 'Bill Clinton' => 'None', 'People from New York City' => 'Racial'"
OH-HB326-Y2019,Jobs,"PERS/SERS disability benefits continue if elected to office. ","To amend sections and to enact section of the Revised Code to allow a Public Employees Retirement System or School Employees Retirement System disability benefit recipient elected to certain offices to continue receiving a disability benefit during the term of office. ","(NLU)'Employment' => 'Jobs', 'Termination of employment' => 'Jobs', 'Retirement' => 'Jobs', 'Leave of absence' => 'Jobs', 'Leave' => 'None'"
